timestamp,source,dataset_id,error_category,error_message,retries_attempted
2026-07-08T13:58:30.945907+00:00,full_scan,ministere-culture/comparia-fr-arena,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e5786-6ff93e276b02e1440153306c;8020dcb3-fe7e-4f98-ae63-53840e422c4c)

Cannot access gated repo for url https://huggingface.co/api/datasets/ministere-culture/comparia-fr-arena/refs.
Access to dataset ministere-culture/comparia-fr-arena is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/ministere-culture/comparia-fr-arena to ask for access.",0
2026-07-08T13:58:31.483047+00:00,full_scan,nvidia/Nemotron-Post-Training-Dataset-v2,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e5787-52992d8e0d27dfa15a522c1c;7624aab5-8d70-4a16-ae46-1a26c3e10283)

Cannot access gated repo for url https://huggingface.co/api/datasets/nvidia/Nemotron-Post-Training-Dataset-v2/refs.
Access to dataset nvidia/Nemotron-Post-Training-Dataset-v2 is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/nvidia/Nemotron-Post-Training-Dataset-v2 to ask for access.",0
2026-07-08T13:58:31.753515+00:00,full_scan,MicroAtlas/MicroAtlas-2B,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e5787-3bda330b6a8eda087633e232;b9324865-ae01-4d46-a10f-753465dc4897)

Cannot access gated repo for url https://huggingface.co/api/datasets/MicroAtlas/MicroAtlas-2B/refs.
Access to dataset MicroAtlas/MicroAtlas-2B is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/MicroAtlas/MicroAtlas-2B to ask for access.",0
2026-07-08T13:58:32.570951+00:00,full_scan,bigcode/the-stack,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e5788-236128dc52ad32700ee0a4ef;dd256a59-de9d-4f18-ae27-d2e8d7f3c191)

Cannot access gated repo for url https://huggingface.co/api/datasets/bigcode/the-stack/refs.
Access to dataset bigcode/the-stack is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/bigcode/the-stack to ask for access.",0
2026-07-08T13:58:32.782590+00:00,full_scan,Idavidrein/gpqa,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e5788-745745422888af8c19de4c18;64e722eb-96d4-4e05-917a-b5ea0238341a)

Cannot access gated repo for url https://huggingface.co/api/datasets/Idavidrein/gpqa/refs.
Access to dataset Idavidrein/gpqa is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/Idavidrein/gpqa to ask for access.",0
2026-07-08T13:58:32.785270+00:00,full_scan,uonlp/CulturaX,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e5788-3e96544859ea983a24c200f1;32d9b6f3-30bf-4a65-bcd7-b8483089228e)

Cannot access gated repo for url https://huggingface.co/api/datasets/uonlp/CulturaX/refs.
Access to dataset uonlp/CulturaX is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/uonlp/CulturaX to ask for access.",0
2026-07-08T13:58:32.787358+00:00,full_scan,gaia-benchmark/GAIA,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e5788-1d8966377571ac0f6d196320;ad62cf20-37d2-4d60-aed7-378b12c2a74c)

Cannot access gated repo for url https://huggingface.co/api/datasets/gaia-benchmark/GAIA/refs.
Access to dataset gaia-benchmark/GAIA is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/gaia-benchmark/GAIA to ask for access.",0
2026-07-08T13:58:32.990806+00:00,full_scan,bigcode/the-stack-v2,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e5788-042fc8365485e2ec257a6b4d;c15ab31c-b853-46e7-a4d4-0457b58c8c94)

Cannot access gated repo for url https://huggingface.co/api/datasets/bigcode/the-stack-v2/refs.
Access to dataset bigcode/the-stack-v2 is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/bigcode/the-stack-v2 to ask for access.",0
2026-07-08T13:58:33.125967+00:00,full_scan,cais/hle,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e5789-4305d0a7129da1bd42efbcd0;d6225c42-6084-44dd-817c-464ef8660a83)

Cannot access gated repo for url https://huggingface.co/api/datasets/cais/hle/refs.
Access to dataset cais/hle is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/cais/hle to ask for access.",0
2026-07-08T13:58:33.424547+00:00,full_scan,builddotai/Egocentric-100K,access_restricted,"403 Client Error. (Request ID: Root=1-6a4e5789-5550cfbd5af4938b2264a09b;1eae36cc-a7b2-4d97-8bae-16f3667092b2)

Cannot access gated repo for url https://huggingface.co/api/datasets/builddotai/Egocentric-100K/refs.
Access to dataset builddotai/Egocentric-100K is restricted and you are not in the authorized list. Visit https://huggingface.co/datasets/builddotai/Egocentric-100K to ask for access.",0
